UNIQUE-ID	ADD-COMPLEMENT	BIGG	SEED
MNXM1602	(2S)-2-isopropyl-3-oxosuccinic acid		
MNXM252	(S)-dihydroorotic acid		
MNXM1265	3-phosphoshikimic acid		
MNXM1140	7,8-diaminononanoate	dann	
MNXM1364229	D-fructofuranose 1,6-bisphosphate		
MNXM735669	L-gamma-glutamyl-L-cysteine		
MNXM529	LL-2,6-diaminopimelic acid		
MNXM1104522	N(1)-(5-phospho-D-ribosyl)glycinamide		
MNXM817	N(2)-acetyl-L-ornithine		
MNXM132	N(2)-succinyl-L-arginine		
MNXM1757	N(2)-succinyl-L-glutamic acid		
MNXM1103622	N(6)-(1,2-dicarboxyethyl)-AMP		
MNXM8	NAD(+)		
MNXM1108016	nicotinic acid D-ribonucleotide		
MNXM1371612	pantothenic acid		
MNXM733314	sedoheptulose 7-phosphate		
MNXM1202	(2R,3R)-2,3-dihydroxy-3-methylpentanoate		
MNXM465	N-carbamoyl-L-aspartic acid		
MNXM1368394	5-amino-6-(5-phospho-beta-D-ribosylamino)uracil		
MNXM730929	(2S)-2-isopropylmalic acid		
MNXM722743	(N(omega)-L-arginino)succinic acid		
MNXM1563	L-2-succinylamino-6-oxoheptanedioic acid		
MNXM1363644	2-formamido-N(1)-(5-phospho-D-ribosyl)acetamidine		
MNXM153		34hpp	
MNXM1153	N-acetylputrescine	aprut	
MNXM872		3hpp	
MNXM1101285	guanosine 5'-monophosphate	gmp	
MNXM280	acetyl dihydrogen phosphate	actp	
MNXM1363963	5-methyltetrahydrofolic acid	5mthf	
MNXM1104453	5-O-phosphono-alpha-D-ribofuranosyl diphosphate	prpp	
MNXM617		fol	
MNXM1219	7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid	2dda7p	
MNXM249	heme b	pheme	
MNXM1104385	5'-xanthylic acid	xmp	
MNXM1104065	alpha-D-glucosamine 6-phosphate	gam6p	
MNXM266	2'-deoxycytosine 5'-monophosphate	dcmp	
MNXM1102054	keto-D-fructose 1-phosphate	f1p	
MNXM1104787	keto-D-fructose 1-phosphate	f1p	
MNXM76	L-tyrosine		
